,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
,"Invoice","10/21/2015","S/EPOCH","402303","0331/KHAKI S/M",-93,"",-93,0.00,0.00
,"Inventory Adjust","10/29/2015",,"33","0331/KHAKI S/M",93,"",0,0.00,0.00
"Total 0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,0.00,,0.00
"0611 (CAP/ENGLAND, RED)",,,,,,,,"",,""
,"Invoice","09/22/2008","MAGIC MOMENT VENDING LTD","3352","0611",-24,"",-24,0.00,0.00
,"Invoice","10/24/2008","CREATION HARMONIE MODE","3487","0611",-12,"",-36,0.00,0.00
,"Invoice","01/27/2009","BONNET (W)","4047","0611",-1,"",-37,0.00,0.00
,"Invoice","03/20/2009","SOCCER PARTNERS","4298","0611",-24,"",-61,0.00,0.00
,"Invoice","05/11/2009","EVERYBODY WINS","4653","0611",-1,"",-62,0.00,0.00
,"Invoice","10/09/2009","STITCHES AND MORE","5448","0611",-2,"",-64,0.00,0.00
,"Invoice","10/04/2010","MR. BOXER INC.","16931","0611",-12,"",-76,0.00,0.00
,"Inventory Adjust","06/18/2012",,"139","0611",508,"",432,0.00,0.00
,"Invoice","04/29/2013","N B WHOLESALE","25305","0611",-48,"",384,0.00,0.00
,"Invoice","06/07/2013","MATERIALISTIC","25832","0611",-12,"",372,0.00,0.00
,"Invoice","10/24/2014","TOYLAND","29659","0611",-1,"",371,0.00,0.00
,"Invoice","01/05/2015","THE BRITISH CORNER SHOP (W)","30576","0611",-4,"",367,0.00,0.00
,"Invoice","02/18/2016","CANO LLC.","403137","0611",-1,"",366,0.00,0.00
,"Invoice","08/03/2017","J&S PETRO INC","407130","0611",-6,"",360,0.00,0.00
,"Invoice","11/21/2017","S/EPOCH","408143","0611",-1,"",359,0.00,0.00
,"Invoice","03/26/2018","PANTRY ONE","409055","0611",-6,"",353,0.00,0.00
,"Invoice","03/11/2019","PANTRY ONE","411749","0611",0,"",353,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412462","0611",-1,"",352,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412463","0611",-1,"",351,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412464","0611",-1,"",350,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412465","0611",-1,"",349,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412466","0611",-1,"",348,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412461","0611",-1,"",347,0.00,0.00
,"Invoice","06/15/2019","test invoicing test","412509","0611",-3,"",344,0.00,0.00
