,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN","Location"
,"Not-active","Service","#0632",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","#0902",,,"Other Income",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","#0904",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#0918",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#0946",,,"Other Income",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","#0947",,,"Other Income",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","#2008-10",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#2008-12",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#610",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#716",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#85KLS",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#85SNAKE",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","#999",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0601",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0602",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0605",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0607",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0607&0604",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0609",,,"Cost of Goods Sold",,,0.00,,"",0.00,,,3.00,"",,
,"Not-active","Service","0610","CAP/BRASIL K.GREEN COLOR/ IN STORE",,"Sales Income",,,0.00,,"",0.00,,,2.00,"",,
,"Not-active","Service","0612",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0902","CAP/CROSS ASSORTED COLOR L/10A",,"Sales Income","Sales Income",,0.00,"CAP/CROSS ASSORTED COLOR","",0.00,,,5.00,"",,
,"Not-active","Service","0904",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0919",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0921",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0922",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0925",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0930",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0934",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0936",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0941-A",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0943",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0957",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0979",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0997",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","0998",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","1005",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","12948",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","16042G.L.K",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","16049G.L.K",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","180",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","2008-02",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","2008-03",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","2008-5A",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","2008-7B",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","2025 SUMMER CATALOG",,,"0.00",,,0.00,,"",0.00,,,0.00,"",,
,"Active","Service","2025 WINTER CATALOG",,,"0.00",,,0.00,,"",0.00,,,0.00,"",,
,"Active","Service","2026 F/W VOL41  CATALOG",,,"0.00",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","703",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","704",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","709",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","710",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","711",,,"Other Expenses","Other Expenses",,0.00,,"",0,,,5.00,"",,
,"Not-active","Service","80",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","82",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","90003",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","99011",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","99976",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","99978",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","ACURA",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF-14",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF-20 BLK",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF-23",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF10",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF2",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF20",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF21",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF23",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF29",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF3",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF31",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF5",,,"Advertising Expense",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AF6",,,"Inventory Asset",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","AGL34",,,"Sales Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","ALL OVER STAR M",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","ALL OVER STAR N",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","BACK PACK",,,"Other Expenses",,,0.00,,"",0,,,0.00,"",,
,"Not-active","Service","BAPE FIT",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","BK2184",,,"Sales Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","BK2185",,,"Sales Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","BLANCE",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","BN1722+SC1961","BEANIE HAT ASSORTED + SCARF ASSORTED",,"Sales Income",,,0.00,,"",0.00,,,8.00,"",,
,"Not-active","Service","BN7122",,,"Sales Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","BR901-1",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","C A CAP",,,"Other Income",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","C.C. RATE",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","C001-2",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
,"Not-active","Service","C0959",,,"Other Expenses",,,0.00,,"",0.00,,,0.00,"",,
