,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
"***DBA BRUMAC ONLY*** OLD SOUL ATTIRE",,,,,,,,,,""
,"Invoice","10/31/2016","404966","PATCH WORK DUCKBILL IVY","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","IV2327 (PATCH WORK DUCKBILL IVY)",6,6.00,36.00,36.00
,"Invoice","10/31/2016","404966","WOOL FLOPPY/LEATHER TRIMMING/BLACK","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","WFL2166/BLACK (WOOL FLOPPY/LEATHER TRIMMING/BLACK)",3,12.00,36.00,72.00
,"Invoice","10/31/2016","404966","NEWS BOY CLASSIC HAT","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","NSB2121 (NEWSBOY CAP, GREY 6PCS)",12,6.00,72.00,144.00
,"Invoice","10/31/2016","404966","WOOL CLOCHE/LEAF, ASSORTED","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","CL2163 (WOOL CLOCHE/LEAF, ASSORTED)",12,10.00,120.00,264.00
,"Invoice","10/31/2016","404966","TOP FELT HAT, BLACK","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","HE62 (TOP FELT HAT WITH SATIN LINING, BLACK prepack 6 pcs)",6,20.00,120.00,384.00
,"Invoice","10/31/2016","404966","UPS GROUND","***DBA BRUMAC ONLY*** OLD SOUL ATTIRE","FREIGHT (UPS GROUND)",1,54.00,54.00,438.00
"Total ***DBA BRUMAC ONLY*** OLD SOUL ATTIRE",,,,,,,40,,438.00,438.00
"**DUPLICATE** THE EDGE APPAREL",,,,,,,,,,""
,"Invoice","02/27/2009","4149",,"**DUPLICATE** THE EDGE APPAREL","CAP11 (PEACE WITH WING CAP FINAL SALE.)",12,6.00,72.00,72.00
,"Invoice","02/27/2009","4149",,"**DUPLICATE** THE EDGE APPAREL","0946 (CAP, ASSORTED, SAME AS  CAP2246)",12,6.00,72.00,144.00
,"Invoice","02/27/2009","4149",,"**DUPLICATE** THE EDGE APPAREL","99959",6,15.00,90.00,234.00
,"Invoice","02/27/2009","4149","UPS","**DUPLICATE** THE EDGE APPAREL","FREIGHT (UPS GROUND)",1,15.00,15.00,249.00
"Total **DUPLICATE** THE EDGE APPAREL",,,,,,,31,,249.00,249.00
"¾ÞÖÐ",,,,,,,,,,""
,"Invoice","08/24/2007","2013",,"¾ÞÖÐ","CAP",1493,1.00,1493.00,1493.00
"Total ¾ÞÖÐ",,,,,,,1493,,1493.00,1493.00
"1.99 SUPER STORE INC",,,,,,,,,,""
,"Invoice","08/20/2008","3211","army cap/skull with rose","1.99 SUPER STORE INC","CAP",6,3.00,18.00,18.00
,"Invoice","08/20/2008","3211","army cap/tiger","1.99 SUPER STORE INC","CAP",6,3.00,18.00,36.00
,"Invoice","08/20/2008","3211",,"1.99 SUPER STORE INC","0946 (CAP, ASSORTED, SAME AS  CAP2246)",6,5.00,30.00,66.00
,"Invoice","08/20/2008","3211",,"1.99 SUPER STORE INC","0908",6,3.50,21.00,87.00
,"Invoice","08/20/2008","3211",,"1.99 SUPER STORE INC","0907",6,3.00,18.00,105.00
,"Invoice","08/20/2008","3211",,"1.99 SUPER STORE INC","0947 (SAME AS CD0947 CADET HAT, ASSORTED (12 DZ/CTN) L/2A)",6,5.00,30.00,135.00
,"Invoice","08/20/2008","3211","ups","1.99 SUPER STORE INC","FREIGHT (UPS GROUND)",1,8.00,8.00,143.00
,"Invoice","09/18/2008","3331",,"1.99 SUPER STORE INC","E87",48,3.00,144.00,287.00
,"Invoice","09/18/2008","3331",,"1.99 SUPER STORE INC","0908",48,3.50,168.00,455.00
,"Invoice","09/18/2008","3331",,"1.99 SUPER STORE INC","0907",48,3.00,144.00,599.00
,"Invoice","09/18/2008","3331",,"1.99 SUPER STORE INC","0946 (CAP, ASSORTED, SAME AS  CAP2246)",36,5.00,180.00,779.00
,"Invoice","09/18/2008","3331","UPS","1.99 SUPER STORE INC","FREIGHT (UPS GROUND)",1,23.00,23.00,802.00
"Total 1.99 SUPER STORE INC",,,,,,,218,,802.00,802.00
"10 Spot/Madrag",,,,,,,,,,""
,"Invoice","11/22/2010","17458","ASSORTED COLOR KNIT BERETS","10 Spot/Madrag","BR001 (KNIT BERETS)",144,2.75,396.00,396.00
,"Invoice","11/22/2010","17458","BLACK COLOR KNIT BERETS","10 Spot/Madrag","BR001 (KNIT BERETS)",132,2.75,363.00,759.00
,"Invoice","11/22/2010","17458","ASSORTED COLOR BERETS WITH FLOWER","10 Spot/Madrag","BR002 (BERETS WITH FLOWER)",216,2.75,594.00,1353.00
,"Invoice","11/22/2010","17458","BLACK COLOR BERETS WITH FLOWER","10 Spot/Madrag","BR002 (BERETS WITH FLOWER)",444,2.75,1221.00,2574.00
,"Invoice","11/22/2010","17458","ASSORTED COLOR BERETS","10 Spot/Madrag","BR003 (BERETS)",216,2.75,594.00,3168.00
,"Invoice","11/22/2010","17458","BLACK COLOR BERETS","10 Spot/Madrag","BR003 (BERETS)",144,2.75,396.00,3564.00
,"Invoice","11/22/2010","17458","ASSORTED COLOR KNIT HATS","10 Spot/Madrag","BR349 (KNIT HATS  L/U19)",132,2.75,363.00,3927.00
,"Invoice","11/22/2010","17458","BLACK COLOR KNIT HATS","10 Spot/Madrag","BR349 (KNIT HATS  L/U19)",132,2.75,363.00,4290.00
,"Invoice","11/22/2010","17458","STORE #1","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4298.89
,"Invoice","11/22/2010","17458","STORE #2","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4305.56
,"Invoice","11/22/2010","17458","STORE #3","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4314.45
,"Invoice","11/22/2010","17458","STORE #4","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4323.34
,"Invoice","11/22/2010","17458","STORE #5","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4330.01
,"Invoice","11/22/2010","17458","STORE #7","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4338.90
,"Invoice","11/22/2010","17458","STORE #9","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4345.57
,"Invoice","11/22/2010","17458","STORE #10","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4352.24
,"Invoice","11/22/2010","17458","STORE #11","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4361.13
,"Invoice","11/22/2010","17458","STORE #12","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4370.02
,"Invoice","11/22/2010","17458","STORE #13","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4378.91
,"Invoice","11/22/2010","17458","STORE #14","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4385.58
,"Invoice","11/22/2010","17458","STORE #17","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4392.25
,"Invoice","11/22/2010","17458","STORE #18","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,11.21,11.21,4403.46
,"Invoice","11/22/2010","17458","STORE #19","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4410.13
,"Invoice","11/22/2010","17458","STORE #20","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4416.80
,"Invoice","11/22/2010","17458","STORE #21","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4423.47
,"Invoice","11/22/2010","17458","STORE #24","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4430.14
,"Invoice","11/22/2010","17458","STORE #25","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,7.11,7.11,4437.25
,"Invoice","11/22/2010","17458","STORE #26","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,7.11,7.11,4444.36
,"Invoice","11/22/2010","17458","STORE #27","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,7.11,7.11,4451.47
,"Invoice","11/22/2010","17458","STORE #28","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,7.11,7.11,4458.58
,"Invoice","11/22/2010","17458","STORE #29","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4465.25
,"Invoice","11/22/2010","17458","STORE #30","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4471.92
,"Invoice","11/22/2010","17458","STORE #31","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4478.59
,"Invoice","11/22/2010","17458","STORE #32","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4485.26
,"Invoice","11/22/2010","17458","STORE #34","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,7.11,7.11,4492.37
,"Invoice","11/22/2010","17458","STORE #35","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4501.26
,"Invoice","11/22/2010","17458","STORE #36","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.89,8.89,4510.15
,"Invoice","11/22/2010","17458","STORE #37","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4516.82
,"Invoice","11/22/2010","17458","STORE #38","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4523.49
,"Invoice","11/22/2010","17458","STORE #39","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,6.67,6.67,4530.16
,"Invoice","11/22/2010","17458","STORE #45","10 Spot/Madrag","FREIGHT (UPS GROUND)",1,8.30,8.30,4538.46
